route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_type,trip_footnote
22,hjun2501-Weekday-4-JU2025-1111100,4227198,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227199,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227200,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227201,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227202,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227203,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227204,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227205,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227206,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227207,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227208,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227209,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227210,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227211,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227212,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227213,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227214,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227216,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227217,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227218,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227219,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227220,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227221,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227222,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227223,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227224,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227225,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227226,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227228,"Kennedy Plaza",0,457764,550008,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227229,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227230,"Kennedy Plaza via Smith St",0,457782,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227231,"Kennedy Plaza via Smith St",0,457765,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227232,"Kennedy Plaza via Smith St",0,457766,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227233,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227234,"Kennedy Plaza via Smith St",0,457782,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227235,"Kennedy Plaza via Smith St",0,457765,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227236,"Kennedy Plaza via Smith St",0,457766,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227237,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227238,"Kennedy Plaza via Smith St",0,457782,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227239,"Kennedy Plaza via Smith St",0,457765,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227240,"Kennedy Plaza via Smith St",0,457766,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227241,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227242,"Kennedy Plaza via Smith St",0,457782,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227243,"Kennedy Plaza via Smith St",0,457765,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227244,"Kennedy Plaza via Smith St",0,457766,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227245,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227246,"Kennedy Plaza via Smith St",0,457763,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227247,"Kennedy Plaza via Smith St",0,457765,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227248,"Kennedy Plaza via Smith St",0,457767,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227249,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227250,"Kennedy Plaza via Smith St",0,457763,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227251,"Kennedy Plaza via Smith St",0,457765,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227252,"Kennedy Plaza via Smith St",0,457767,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227253,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227254,"Kennedy Plaza via Smith St",0,457763,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227255,"Kennedy Plaza via Smith St",0,457767,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227256,"Kennedy Plaza via Smith St",0,457764,570007,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227257,"Kennedy Plaza via Smith St",0,457763,570007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227258,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227259,"Centerdale via Smith St",1,457765,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227260,"RI College via Admiral St",1,457782,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227261,"Centerdale via Smith St",1,457766,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227262,"RI College via Admiral St",1,457765,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227263,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227264,"RI College via Admiral St",1,457766,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227265,"Centerdale via Smith St",1,457782,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227266,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227267,"Centerdale via Smith St",1,457765,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227268,"RI College via Admiral St",1,457782,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227269,"Centerdale via Smith St",1,457766,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227270,"RI College via Admiral St",1,457765,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227271,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227272,"RI College via Admiral St",1,457766,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227273,"Centerdale via Smith St",1,457782,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227274,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227275,"Centerdale via Smith St",1,457765,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227276,"RI College via Admiral St",1,457782,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227277,"Centerdale via Smith St",1,457766,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227278,"RI College via Admiral St",1,457765,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227279,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227280,"RI College via Admiral St",1,457766,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227281,"Centerdale via Smith St",1,457782,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227282,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227283,"Centerdale via Smith St",1,457765,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227284,"RI College via Admiral St",1,457782,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227285,"Centerdale via Smith St",1,457766,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227286,"RI College via Admiral St",1,457765,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227287,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227288,"RI College via Admiral St",1,457767,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227289,"Centerdale via Smith St",1,457763,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227290,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227291,"Centerdale via Smith St",1,457765,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227292,"RI College via Admiral St",1,457763,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227293,"Centerdale via Smith St",1,457767,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227294,"RI College via Admiral St",1,457765,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227295,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227296,"RI College via Admiral St",1,457767,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227297,"Centerdale via Smith St",1,457763,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227298,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227299,"Centerdale via Smith St",1,457765,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227300,"RI College via Admiral St",1,457763,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227301,"Centerdale via Smith St",1,457767,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227302,"RI College via Admiral St",1,457765,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227303,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227304,"RI College via Admiral St",1,457767,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227305,"Centerdale via Smith St",1,457763,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227306,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227307,"Centerdale via Smith St",1,457767,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227308,"RI College via Admiral St",1,457763,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227309,"Centerdale via Smith St",1,457764,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227310,"RI College via Admiral St",1,457767,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227311,"Centerdale via Smith St",1,457763,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227312,"RI College via Admiral St",1,457764,550010,0,
57,hjun2501-Weekday-4-JU2025-1111100,4227313,"Centerdale via Smith St",1,457767,570001,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227314,"Kennedy Plaza",0,457765,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227315,"Kennedy Plaza",0,457766,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227316,"Kennedy Plaza",0,457764,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227317,"Kennedy Plaza",0,457782,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227318,"Kennedy Plaza",0,457765,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227319,"Kennedy Plaza",0,457766,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227320,"Kennedy Plaza",0,457764,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227321,"Kennedy Plaza",0,457782,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227322,"Kennedy Plaza",0,457765,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227323,"Kennedy Plaza",0,457766,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227324,"Kennedy Plaza",0,457764,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227325,"Kennedy Plaza",0,457782,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227326,"Kennedy Plaza",0,457765,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227327,"Kennedy Plaza",0,457766,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227328,"Kennedy Plaza",0,457764,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227329,"Kennedy Plaza",0,457782,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227330,"Kennedy Plaza",0,457765,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227331,"Kennedy Plaza",0,457767,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227332,"Kennedy Plaza",0,457764,550007,0,
55,hjun2501-Weekday-4-JU2025-1111100,4227333,"Kennedy Plaza",0,457763,550007,0,
